,Location,Month,Average Temperature(°C)
0,Colombo,January,26.2
1,Colombo,February,26.9
2,Colombo,March,27.4
3,Colombo,April,27.3
4,Colombo,May,27.0
5,Colombo,June,26.7
6,Colombo,July,26.4
7,Colombo,August,26.3
8,Colombo,September,26.2
9,Colombo,October,26.1
10,Colombo,November,25.8
11,Colombo,December,25.7
12,Matara,January,25.8
13,Matara,February,26.4
14,Matara,March,26.9
15,Matara,April,27.0
16,Matara,May,26.8
17,Matara,June,26.4
18,Matara,July,26.2
19,Matara,August,26.1
20,Matara,September,26.0
21,Matara,October,25.9
22,Matara,November,25.8
23,Matara,December,25.7
24,Nuwara Eliya,January,17.9
25,Nuwara Eliya,February,18.4
26,Nuwara Eliya,March,19.4
27,Nuwara Eliya,April,19.8
28,Nuwara Eliya,May,20.3
29,Nuwara Eliya,June,19.9
30,Nuwara Eliya,July,19.7
31,Nuwara Eliya,August,19.5
32,Nuwara Eliya,September,19.4
33,Nuwara Eliya,October,18.9
34,Nuwara Eliya,November,18.4
35,Nuwara Eliya,December,18.1
36,Kandy,January,22.1
37,Kandy,February,23.0
38,Kandy,March,24.6
39,Kandy,April,24.7
40,Kandy,May,24.5
41,Kandy,June,23.9
42,Kandy,July,23.6
43,Kandy,August,23.5
44,Kandy,September,23.6
45,Kandy,October,23.4
46,Kandy,November,22.9
47,Kandy,December,22.4
48,Monaragala,January,21.2
49,Monaragala,February,21.9
50,Monaragala,March,23.3
51,Monaragala,April,23.9
52,Monaragala,May,23.9
53,Monaragala,June,23.8
54,Monaragala,July,23.8
55,Monaragala,August,23.7
56,Monaragala,September,23.4
57,Monaragala,October,22.8
58,Monaragala,November,22.0
59,Monaragala,December,21.1
60,Kurunegala,January,26.5
61,Kurunegala,February,27.2
62,Kurunegala,March,28.5
63,Kurunegala,April,29.0
64,Kurunegala,May,28.0
65,Kurunegala,June,28.6
66,Kurunegala,July,28.5
67,Kurunegala,August,28.3
68,Kurunegala,September,27.7
69,Kurunegala,October,27.4
70,Kurunegala,November,26.8
71,Kurunegala,December,26.2
72,Jaffna,January,25.5
73,Jaffna,February,26.3
74,Jaffna,March,27.8
75,Jaffna,April,29.1
76,Jaffna,May,29.3
77,Jaffna,June,29.0
78,Jaffna,July,28.8
79,Jaffna,August,28.4
80,Jaffna,September,28.2
81,Jaffna,October,27.4
82,Jaffna,November,26.3
83,Jaffna,December,25.7
